%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
41.0, -112240.98351490301, -132100.26259425434, -183792.69496115387, -183964.177544615, -184518.94784199572, -132412.06942940588, -161661.36105792059, -184421.4718844261, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.73888142894428E9, 0.0, 2025-02-06 17:37:08.944
42.0, -112338.2136032836, -132183.67930456155, -183770.32086495412, -183912.65677364552, -184472.32210306195, -132548.2809601165, -161871.3556970782, -184369.5711338009, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428948297E9, 0.0, 2025-02-06 17:37:08.948
43.0, -112437.54475564299, -132267.4759945245, -183714.5085590492, -183861.98536896534, -184426.031640295, -132686.4147408503, -162082.1997025251, -184318.94443260963, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428951299E9, 0.0, 2025-02-06 17:37:08.951
44.0, -112532.71848353368, -132345.9306175626, -183707.78068396816, -183805.90484212697, -184374.4661658366, -132819.31821338157, -162287.27695790256, -184262.57333309334, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.73888142895532E9, 0.0, 2025-02-06 17:37:08.955
45.0, -112629.30037132507, -132424.1170196673, -183792.60555417606, -183752.05948973412, -184324.24179604554, -132952.06522370162, -162493.2482830582, -184206.2692888104, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428959338E9, 0.0, 2025-02-06 17:37:08.959
46.0, -112732.54307896413, -132510.81943640942, -183762.6765683504, -183703.89148043294, -184278.10779548978, -133091.94244050296, -162707.46740191788, -184156.29078820837, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428963393E9, 0.0, 2025-02-06 17:37:08.963
47.0, -112831.06956852312, -132595.06316126147, -183707.35600082352, -183653.15302051938, -184082.73119720593, -133226.25407293488, -162917.3502823532, -184105.462921317, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428967363E9, 0.0, 2025-02-06 17:37:08.967
48.0, -112914.66509278597, -132665.49350804015, -183692.53679424964, -183589.74112149968, -183866.2992556452, -133330.7708300079, -163110.98344456955, -184025.935414545, 0.012, 0.056, 0.986, 192.0, 0.0, 96.0, 1.0, 192.0, 30.0, 208.0, 0.0, 0.0, 0.0, 1.738881428972384E9, 0.0, 2025-02-06 17:37:08.972
49.0, -112985.94480585394, -132724.70327910225, -183757.60272235904, -183517.1650072533, -183956.75676545582, -133417.51795023895, -163289.52917927853, -183785.90003083946, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428976415E9, 0.0, 2025-02-06 17:37:08.976
50.0, -113054.60936482064, -132780.13560535142, -183699.01880014167, -183418.43735199422, -184073.61168546817, -133501.3146402019, -163456.78728303759, -183746.9185885094, 0.012, 0.056, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428979422E9, 0.0, 2025-02-06 17:37:08.979
